timestamp,fair,returns,fair_in_1_its,fair_1_its_ago,fair_in_2_its,fair_2_its_ago,fair_in_5_its,fair_5_its_ago,fair_in_10_its,fair_10_its_ago,fair_in_50_its,fair_50_its_ago,fair_in_100_its,fair_100_its_ago,fair_in_500_its,fair_500_its_ago,returns_in_1_its,returns_from_1_its_ago,returns_in_2_its,returns_from_2_its_ago,returns_in_5_its,returns_from_5_its_ago,returns_in_10_its,returns_from_10_its_ago,returns_in_50_its,returns_from_50_its_ago,returns_in_100_its,returns_from_100_its_ago,returns_in_500_its,returns_from_500_its_ago
0,1836.0,0.0010893246187363835,1838.0,,1833.5,,1835.0,,1842.5,,1861.5,,1857.5,,1832.0,,0.0010893246187363835,,-0.0013616557734204794,,-0.0005446623093681918,,0.003540305010893246,,0.013888888888888888,,0.011710239651416121,,-0.002178649237472767,
100,1838.0,-0.0024483133841131663,1833.5,1836.0,1836.5,,1834.5,,1841.5,,1860.5,,1858.0,,1833.5,,-0.0024483133841131663,0.0010893246187363835,-0.0008161044613710555,,-0.0019042437431991295,,0.0019042437431991295,,0.012241566920565832,,0.01088139281828074,,-0.0024483133841131663,
200,1833.5,0.001636214889555495,1836.5,1838.0,1834.5,1836.0,1835.5,,1840.5,,1860.0,,1858.5,,1833.5,,0.001636214889555495,-0.0024483133841131663,0.000545404963185165,-0.0013616557734204794,0.00109080992637033,,0.003817834742296155,,0.014453231524406873,,0.013635124079629125,,0.0,
300,1836.5,-0.0010890280424720937,1834.5,1833.5,1835.0,1838.0,1836.5,,1841.5,,1858.5,,1859.5,,1832.5,,-0.0010890280424720937,0.001636214889555495,-0.0008167710318540703,-0.0008161044613710555,0.0,,0.002722570106180234,,0.01197930846719303,,0.012523822488429077,,-0.0021780560849441874,
400,1834.5,0.0002725538293813028,1835.0,1836.5,1834.5,1833.5,1841.5,,1841.5,,1858.5,,1857.5,,1832.5,,0.0002725538293813028,-0.0010890280424720937,0.0,0.000545404963185165,0.0038157536113382394,,0.0038157536113382394,,0.013082583810302535,,0.012537476151539929,,-0.0010902153175252113,
500,1835.0,-0.00027247956403269756,1834.5,1834.5,1835.5,1836.5,1842.5,1836.0,1844.5,,1858.5,,1857.5,,1833.0,,-0.00027247956403269756,0.0002725538293813028,0.00027247956403269756,-0.0008167710318540703,0.004087193460490463,-0.0005446623093681918,0.0051771117166212535,,0.012806539509536785,,0.01226158038147139,,-0.0010899182561307902,
600,1834.5,0.0005451076587626056,1835.5,1835.0,1836.5,1834.5,1841.5,1838.0,1845.5,,1860.5,,1858.5,,1831.5,,0.0005451076587626056,-0.00027247956403269756,0.0010902153175252113,0.0,0.0038157536113382394,-0.0019042437431991295,0.005996184246388662,,0.014172799127827746,,0.013082583810302535,,-0.001635322976287817,
700,1835.5,0.0005448106782892945,1836.5,1834.5,1841.5,1835.0,1840.5,1833.5,1842.0,,1860.5,,1858.5,,1831.0,,0.0005448106782892945,0.0005451076587626056,0.003268864069735767,0.00027247956403269756,0.002724053391446472,0.00109080992637033,0.003541269408880414,,0.013620266957232362,,0.012530645600653773,,-0.002451648052301825,
800,1836.5,0.002722570106180234,1841.5,1835.5,1842.5,1834.5,1841.5,1836.5,1844.0,,1859.5,,1858.0,,1831.5,,0.002722570106180234,0.0005448106782892945,0.003267084127416281,0.0010902153175252113,0.002722570106180234,0.0,0.004083855159270351,,0.012523822488429077,,0.011707051456575007,,-0.002722570106180234,
900,1841.5,0.0005430355688297583,1842.5,1836.5,1841.5,1835.5,1841.5,1834.5,1844.5,,1858.5,,1860.5,,1831.5,,0.0005430355688297583,0.002722570106180234,0.0,0.003268864069735767,0.0,0.0038157536113382394,0.001629106706489275,,0.009231604670105892,,0.010317675807765408,,-0.005430355688297583,
